Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TLoser
CRO,2011,4,18.5,4.5,13.25,24.25,105.0,28.333333333333332,40.333333333333336,61.0,0
CRO,2013,3,12.666666666666666,4.0,25.666666666666668,32.333333333333336,115.33333333333333,31.0,39.333333333333336,68.5,0
CRO,2014,3,17.666666666666668,3.3333333333333335,41.0,31.666666666666668,113.33333333333333,33.333333333333336,25.666666666666668,55.5,0
CYP,2005,1,4.0,1.0,100.0,23.0,73.0,25.0,25.0,64.0,0
CYP,2006,1,6.0,2.0,30.0,38.0,116.0,34.0,48.0,52.0,1
CYP,2007,1,6.0,2.0,33.0,37.0,109.0,23.0,52.0,48.0,0
CYP,2008,1,28.0,8.0,36.0,36.0,181.0,73.0,80.0,79.0,0
CYP,2009,1,12.0,2.0,20.0,33.0,118.0,37.0,53.0,67.0,0
CYP,2010,1,5.0,2.0,0.0,23.0,21.0,8.0,26.0,20.0,0
CYP,2011,1,4.0,0.0,25.0,32.0,94.0,25.0,41.0,52.0,0
CYP,2012,1,1.0,8.0,42.0,39.0,124.0,19.0,59.0,60.0,0
CYP,2013,1,4.0,1.0,40.0,35.0,70.0,16.0,42.0,55.0,0
CZE,2004,6,5.166666666666667,4.0,20.5,28.666666666666668,85.33333333333333,30.333333333333332,39.166666666666664,59.666666666666664,0
CZE,2005,6,2.3333333333333335,4.333333333333333,51.666666666666664,34.166666666666664,81.83333333333333,21.0,37.666666666666664,64.83333333333333,0
CZE,2006,9,6.555555555555555,5.444444444444445,36.77777777777778,31.333333333333332,102.33333333333333,35.111111111111114,43.666666666666664,57.22222222222222,0
CZE,2007,5,7.6,5.2,31.4,32.6,110.6,35.0,52.4,58.0,0
CZE,2008,5,6.6,4.4,39.6,30.8,94.0,32.5,35.5,63.5,0
CZE,2009,4,5.75,5.0,40.25,37.75,127.5,40.5,40.5,47.0,0
CZE,2011,4,2.5,3.0,24.0,27.5,71.5,17.25,32.25,54.25,0
CZE,2012,3,9.0,4.333333333333333,49.333333333333336,33.0,97.33333333333333,37.0,27.666666666666668,54.0,0
CZE,2013,4,7.0,3.75,19.5,23.75,86.5,23.5,31.5,59.0,0
CZE,2014,5,11.0,9.2,32.4,29.4,121.4,42.2,43.0,69.0,0
ECU,2004,1,10.0,3.0,20.0,35.0,119.0,39.0,29.0,66.0,0
ECU,2007,1,5.0,2.0,0.0,23.0,76.0,26.0,22.0,85.0,0
ESP,2004,16,4.875,5.75,32.0625,31.3125,95.6875,28.0625,42.6875,62.6875,0
ESP,2005,17,6.588235294117647,4.705882352941177,35.705882352941174,33.294117647058826,113.29411764705883,34.35294117647059,44.35294117647059,63.411764705882355,0
ESP,2006,11,6.363636363636363,5.454545454545454,40.54545454545455,33.81818181818182,109.81818181818181,37.36363636363637,43.90909090909091,62.63636363636363,0
ESP,2007,12,5.75,4.166666666666667,44.5,30.416666666666668,90.41666666666667,29.333333333333332,37.583333333333336,61.833333333333336,0
ESP,2008,13,5.076923076923077,5.3076923076923075,30.153846153846153,30.53846153846154,82.61538461538461,24.222222222222225,31.44444444444445,55.8888888888889,0
ESP,2009,14,5.071428571428571,4.142857142857143,24.5,30.571428571428573,91.21428571428571,31.800000000000004,39.5,62.89999999999999,0
ESP,2010,13,7.0,4.538461538461538,30.53846153846154,29.76923076923077,101.84615384615384,35.875,33.30769230769231,70.625,0
ESP,2011,13,5.846153846153846,2.6153846153846154,44.76923076923077,29.923076923076923,74.07692307692308,23.888888888888893,32.55555555555555,66.66666666666666,0
ESP,2012,14,5.714285714285714,4.857142857142857,39.785714285714285,31.571428571428573,107.07142857142857,20.285714285714285,31.785714285714285,68.25,1
ESP,2013,16,7.1875,4.5,23.1875,28.3125,103.125,21.1875,25.5625,63.22222222222221,0
ESP,2014,13,5.923076923076923,4.923076923076923,43.15384615384615,31.615384615384617,105.6923076923077,28.153846153846153,33.07692307692308,68.0,1
FIN,2004,1,1.0,2.0,15.0,29.0,130.0,34.0,34.0,71.0,0
FIN,2005,1,1.0,3.0,40.0,37.0,43.0,14.0,15.0,27.0,0
FIN,2006,1,3.0,1.0,31.0,39.0,121.0,33.0,39.0,48.0,0
FIN,2007,1,4.0,2.0,50.0,34.0,107.0,34.0,33.0,80.0,0
FIN,2008,1,2.0,2.0,13.0,34.0,81.0,25.0,28.0,53.0,0
FIN,2010,1,9.0,4.0,29.0,38.0,199.0,52.0,58.0,64.0,0
FIN,2013,0,0,0,0,0,0,0,0,0,0
FIN,2014,1,3.0,5.0,13.0,37.0,134.0,24.0,37.0,63.0,0
FRA,2004,14,6.714285714285714,4.714285714285714,28.142857142857142,31.428571428571427,85.14285714285714,26.5,37.857142857142854,60.57142857142857,0
FRA,2005,14,4.857142857142857,4.357142857142857,28.357142857142858,31.428571428571427,89.71428571428571,28.785714285714285,38.0,56.857142857142854,0
FRA,2006,13,5.923076923076923,3.4615384615384617,31.153846153846153,31.76923076923077,86.46153846153847,29.76923076923077,38.76923076923077,53.76923076923077,0
FRA,2007,15,6.0,4.2,25.933333333333334,30.266666666666666,100.53333333333333,35.13333333333333,34.2,62.06666666666667,0
FRA,2008,15,4.066666666666666,2.8,25.933333333333334,31.266666666666666,80.66666666666667,27.23076923076923,37.23076923076923,53.3076923076923,1
FRA,2009,15,5.8,3.466666666666667,24.733333333333334,31.133333333333333,93.66666666666667,31.66666666666667,36.083333333333336,56.08333333333334,0
FRA,2010,14,4.428571428571429,4.428571428571429,35.642857142857146,31.428571428571427,99.85714285714286,32.699999999999996,30.857142857142858,61.0,0
FRA,2011,13,7.3076923076923075,5.230769230769231,41.76923076923077,30.692307692307693,103.84615384615384,35.8888888888889,42.1111111111111,55.8888888888889,0
FRA,2012,15,6.133333333333334,4.666666666666667,26.866666666666667,32.13333333333333,97.2,30.266666666666666,34.2,63.0,0
FRA,2013,13,8.384615384615385,5.076923076923077,30.23076923076923,29.615384615384617,98.07692307692308,32.46153846153846,41.30769230769231,62.083333333333336,0
FRA,2014,16,7.0,4.9375,26.375,30.25,97.1875,34.3125,47.375,58.0,0
GBR,2004,2,8.5,7.0,34.0,35.0,141.5,68.5,51.5,54.0,0
GBR,2005,2,7.0,4.5,25.0,24.5,77.0,29.0,26.0,50.5,0
GBR,2007,2,8.0,9.0,19.0,35.5,117.0,43.0,63.5,64.5,0
GBR,2009,1,7.0,3.0,38.0,40.0,138.0,52.0,40.0,68.0,0
GBR,2010,1,10.0,4.0,25.0,32.0,100.0,29.0,36.0,61.0,1
GBR,2011,1,6.0,4.0,75.0,33.0,78.0,21.0,47.0,39.0,1
GBR,2012,2,8.0,6.5,36.0,39.0,119.5,27.0,44.5,70.0,0
GBR,2013,2,7.5,3.0,33.5,28.5,110.0,18.5,23.5,60.0,1
GBR,2014,1,9.0,1.0,50.0,27.0,121.0,41.0,46.0,63.0,0
GER,2004,6,7.833333333333333,6.166666666666667,21.166666666666668,31.0,101.83333333333333,29.333333333333332,37.833333333333336,59.5,0
GER,2005,8,6.625,5.375,19.125,29.75,84.375,25.75,38.125,61.25,0
GER,2006,10,5.2,4.4,36.4,32.1,82.9,26.1,35.5,57.0,0
GER,2007,10,8.1,5.3,39.2,32.2,100.1,34.2,37.7,66.2,0
GER,2008,8,5.125,3.375,29.25,34.0,112.0,41.0,42.4,54.4,0
GER,2009,11,4.090909090909091,5.090909090909091,42.45454545454545,33.54545454545455,111.18181818181819,39.0,42.666666666666664,60.66666666666667,0
GER,2010,11,7.090909090909091,4.454545454545454,54.72727272727273,33.27272727272727,99.9090909090909,31.0,30.818181818181817,68.0,0
