Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TWinner
CRO,2011,6,13.333333333333334,4.0,44.833333333333336,36.333333333333336,130.66666666666666,46.6,33.6,67.2,0
CRO,2013,4,16.25,2.75,40.25,38.5,131.0,40.5,29.25,73.0,0
CRO,2014,2,15.0,3.0,65.0,33.5,126.5,52.0,30.0,68.5,0
CYP,2005,3,9.666666666666666,2.6666666666666665,36.333333333333336,42.333333333333336,134.66666666666666,53.333333333333336,29.0,73.33333333333333,0
CYP,2006,6,9.0,3.3333333333333335,45.666666666666664,42.166666666666664,124.5,45.333333333333336,29.5,58.833333333333336,0
CYP,2007,1,11.0,7.0,70.0,44.0,112.0,38.0,39.0,58.0,0
CYP,2008,2,10.0,4.0,29.0,40.5,141.0,44.0,46.5,72.0,0
CYP,2009,3,8.333333333333334,4.333333333333333,44.666666666666664,45.333333333333336,118.0,40.0,39.0,80.0,0
CYP,2010,2,9.0,1.0,42.5,42.5,134.0,43.5,48.5,69.0,0
CYP,2011,2,15.0,4.0,41.0,41.0,136.5,45.0,44.0,69.0,0
CYP,2012,1,18.0,1.0,75.0,43.0,93.0,38.0,23.0,69.0,0
CYP,2013,2,13.5,2.5,33.0,39.0,149.0,43.0,56.0,65.5,0
CZE,2004,6,9.166666666666666,3.8333333333333335,41.5,44.166666666666664,128.33333333333334,41.833333333333336,41.0,63.333333333333336,0
CZE,2005,6,8.0,4.833333333333333,41.166666666666664,42.5,137.16666666666666,44.5,38.333333333333336,73.83333333333333,0
CZE,2006,3,10.0,4.0,61.333333333333336,45.0,121.33333333333333,46.333333333333336,48.0,66.0,0
CZE,2007,6,11.666666666666666,3.1666666666666665,55.0,48.666666666666664,130.83333333333334,49.166666666666664,33.333333333333336,70.83333333333333,0
CZE,2008,3,11.333333333333334,4.333333333333333,59.333333333333336,44.666666666666664,106.0,43.5,32.5,69.5,0
CZE,2009,5,10.6,3.4,35.0,43.8,123.4,40.333333333333336,36.0,67.66666666666667,0
CZE,2011,7,8.0,2.4285714285714284,48.857142857142854,42.42857142857143,119.28571428571429,30.5,16.5,76.5,0
CZE,2012,4,17.5,4.25,40.75,38.25,125.75,51.25,37.0,70.0,0
CZE,2013,7,8.0,2.857142857142857,45.142857142857146,43.142857142857146,114.42857142857143,26.142857142857142,19.0,65.39999999999999,0
CZE,2014,5,8.2,2.4,43.0,44.8,100.6,35.4,27.0,72.0,0
ECU,2004,1,3.0,1.0,54.0,53.0,99.0,13.0,20.0,76.0,0
ECU,2007,1,2.0,2.0,40.0,47.0,107.0,19.0,24.0,75.0,0
